Job Title,Job_URL,EX_level_demand,Time_Limitation,Search_Keyword,Posted_from,Description,Category1_URL_search,Category_1,highlight,Category2_URL_search,Category_2,Category3_URL_search,Category_3,Category4_URL_search,Category_4,Category5_URL_search,Category_5,Category6_URL_search,Category_6,Category7_URL_search,Category_7,Category8_URL_search,Category_8,Category9_URL_search,Category_9,Applicants_Num,Payment_Situation,Enterprise_Client,Freelancers_Num,Spent($),Client_Country,Connects_Num,New_Connects_Num,Rating,Feedback_Num,Payment_type,Job_Cost,Hourly_Rate,Start_rate,End_rate
Power bi specialist freelance,https://www.upwork.com/jobs/Power-specialist-freelance_~011e995e98fafa73e6/,Expert,,Data_science,5 minutes ago,Already data pooled and designed. Need to refine add or separate tab,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759018627072,Microsoft Power BI,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782364123136,SQL,,,,,,,,,,,Less than 5,Payment unverified,,1,0,United States,6,12,,0,Fixed-price,"$2,500 ",,0,
Case Study (on-demand delivery startup),https://www.upwork.com/jobs/Case-Study-demand-delivery-startup_~01a68fe11935206388/,Intermediate,,Data_science,5 minutes ago,"Hi,

Would you be able to help me do a case-study this Saturday around 2PM EST? It will take up to 3 hours.

It will require Excel or Sheets, and maybe a little bit of SQL/Python, but I think Excel/Sheets will suffice.

The Case Study will be on a business problem for a tech on-demand delivery startup, and the objective of the Case Study is to to break down a complex problem and present the information in a clear, concise and structured manner. 

How we will do it: We can get on a Google Meet call, and I will share my screen with you. You will guide me live on how to complete it. 

Please let me know if you can do it, and we can talk further.

Bonus if you have previously worked at Uber/DoorDash/Instacart etc. in an Operations Manager role, but it's not necessary.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626742065250304,Google Data Studio,Google Data Studio,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782364123136,SQL,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626784704544768,Tableau,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759027015680,Microsoft PowerPoint,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712596070400,Analytics,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626793785212928,Visualization,,,Less than 5,Payment verified,,1,100,Canada,4,8,5,1,Fixed-price,$200 ,,0,
"File Maker Pro Reports, Charts, Query and Ongoing Support",https://www.upwork.com/jobs/File-Maker-Pro-Reports-Charts-Query-and-Ongoing-Support_~017a92b014e761d061/,Intermediate,"3 to 6 months, Less than 30 hrs/week",Data_science,9 minutes ago,"NITIAL PROJECT

Set up Monthly Report mimicking “Monthly Report Summary Table” in xlsx file
Set up Charts mimicking “Charts” in xlsx file
Set up a Search layout to query by date range database

ONGOING PROJECT
Ongoing support to enhance, manage and refine database

SOURCE DOCUMENTS

Google Folder https://drive.google.com/drive/folders/1CJmEsECf86q1nuquP8uu_EBw_MbpTn6m?usp=share_link

2 Files  ABOR Sold db.fmp12
Charts and Tables…xlsx",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626774558523392,Report Writing,,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1504885059464724480,Custom Graphics,,,,,,,,,,,,,,,Less than 5,Payment verified,,1,200,United States,6,12,5,1,Hourly,,$40.00 ,40,
Implementation of EleutherAI/gpt-neox-20b,https://www.upwork.com/jobs/Implementation-EleutherAI-gpt-neox-20b_~0172deced648cb3b43/,Expert,"3 to 6 months, Less than 30 hrs/week",Data_science,12 minutes ago,"As a first step, you will implement the installation,configuration and deployment of EleutherAI/gpt-neox-20b using Langchain for various NLP tasks. Your first task will be to build a Docker container with all of the required assets to get Langchain and NEOX20B working on one A100 80GB. You do not need to worry about configuring the system the container will be running on. To evaluate your capabilities we want to see if you can get Langchain working successfully with the model to do very basic things. If this is a success then we will move on to many other tasks. This is not for running in the cloud but on prem. Once your docker container is built, everything should run out of the box on the A100.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342885165281280,Machine Learning Model,,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,,,,,,,,,,,,,Less than 5,Payment verified,,1,200000,Canada,6,12,4.935535593,26,Hourly,,$35.00-$100.00,$35.00 ,$100.00 
BI and Data Engineer for Upwork Finance Systems Team,https://www.upwork.com/jobs/and-span-Data-span-Engineer-for-Upwork-Finance-Systems-Team_~01d22995c92fa65c64/,Expert,"More than 6 months, 30+ hrs/week",Data_science,14 minutes ago,"The Upwork Finance Systems team is looking for a BI and Data Engineer.  This job requires implementing Financial Reports off the Data from a Marketplace & ERP in a Snowflake DW + Looker setup. Includes LookML development, implementing compelling Dashboards that can drill down and track KPIs.  

Must Haves (Required Skills): 

Proficient in any SQL preferably in an MPP environment
Proven ability in Looker development
Who can overlap with the first 4 hours of Pacific timings in the mornings

Nice to have:

Working knowledge of Python
Experience in FiveTran, DBT
Experienced in Data Warehousing as in creation of Data Marts and Access Control Mechanisms
Experience in dealing with the data of a large Marketplace or a FinTech setting
Familiarity with financial or accounting data",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755084369920,Looker,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782364123136,SQL,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1192876992131252224,Snowflake,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1484275238033870848,Accounting,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,,,,,,,Less than 5,Payment verified,Enterprise,1,,United States,6,12,4.942242216,12512,Hourly,,,0,
Computer vision / machine learning: synthetic video to real video,https://www.upwork.com/jobs/Computer-vision-machine-learning-synthetic-video-real-video_~017611ed5df0e70951/,Expert,"1 to 3 months, Less than 30 hrs/week",Data_science,15 minutes ago,"Our company is working on a government proposal involving synthetic video data, which will be used to train object detection and tracking networks. The synthetic data will be high-fidelity video using ray tracing, but there is an opportunity to make it more realistic using Domain Adaptation (DA). 

Even more importantly, we want to use DA to translate the video into thermal infrared (TIR), since there are few options for physics-based renderers with TIR.

The synthetic data will be in video form, so it's important to use video-to-video translation approaches that provide temporal consistency. 

There are two components of this effort:

1. Come up with a compelling approach and write it up in a proposal.
2. Be included as a performer on the proposal, as a subject matter expert (SME).

The ideal candidate would perform both components. We want to strengthen our proposal by including an SME, so this person would likely need to have publications in this area. Our team has significant expertise in computer vision and machine learning in general, but limited experience in video-to-video translation.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1623716863930667008,Generative Adversarial Network,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626726596657152,Computer Vision,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1110580640142053376,Neural Network,,,,,,,,,,,Less than 5,Payment verified,,1,100000,United States,6,12,5,11,Hourly,,$75.00-$175.00,$75.00 ,$175.00 
Expert in Data Analytics,https://www.upwork.com/jobs/Expert-span-Data-span-Analytics_~01211000d198ed7ea1/,Expert,"More than 6 months, Hours to be determined",Data_science,18 minutes ago,"Mission : Ensure smooth transition of Analytics from existing team to future one. You will have to work with analytics stakeholders to understand scope/tasks/process/infrastructure/landscape, then you have to perform activities if needed (ensuring continuity) to finally transfer your knowledge to the new team (setting new way of working, working procedure…). You will be helped in this task by existing analytics team, process experts + future analytics team that will be hired and trained.

Skills :
 * Basics - Advanced Excel
 * Process data - VBA / macros, Alteryx, Access, SQL, Python
 * Connect data – FTP, API, Infopath, PowerApps
 * Display – Tableau, Power BI, Azure
 * Technology - Mobile technology

Soft skills
 * Fast learner
 * Ability to run a project/transition and see the big picture
 * Able to establish yourself as a key subject matter expert
 * Training and knowledge sharing
 * Good communicant, able to be straight to the point",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759018627072,Microsoft Power BI,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,,,,,,,,,,,Less than 5,Payment verified,Enterprise,1,70000000,United States,6,12,4.96596947,10906,Hourly,,,0,
Data Analytics Expert for Educational Exercise,https://www.upwork.com/jobs/span-Data-span-Analytics-Expert-for-Educational-Exercise_~01445192809ca4fa4b/,Intermediate,,Data_science,21 minutes ago,"Looking for someone to help me solve some problems. 

I am studying different equations and need someone to help with some. 

I will give you instructions so knowledge with Business Analytics is a must.

You'll be given a lot of Hypothesis Testing, Linear Regression and act. 

Should know how to use Excel and manual computation including histograms.

Turnaround time is crucial to me too. 

Someone will a lot of knowledge in this area will be best suited.

Thanks!",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1504884905990946816,Data Analytics,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626719432785920,Big Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1052162208890146823,Data Visualization,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626729515892736,Data Analysis,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1225465936942960640,Dashboard,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626721978728448,Business Intelligence,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1253342880555741184,Hypothesis Testing,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626758615973888,Microsoft Excel,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626712596070400,Analytics,Less than 5,Payment verified,,1,600,Australia,2,4,4.9346781,6,Fixed-price,$10 ,,0,
Azure Data Factory specialist,https://www.upwork.com/jobs/Azure-span-Data-span-Factory-specialist_~011ee0b8b484916c1a/,Intermediate,"More than 6 months, 30+ hrs/week",Data_science,22 minutes ago,"1. Good work experience in Azure Data Factory is needed, resource is responsible to build new pipelines and datasets as per the requirements
2. Optimize extraction queries for existing ADF copy pipelines.
3. Redesign existing ETLs on ADF pipelines
4. If the resource have Azure DevOps it will be helpful in the project implementation (not mandatory)SQL
1. Analyse, Recommend and implement performance improvement options on Azure DB (regular Deadlocks, Long running quires etc.,)
2. Creating new DB objects(Tables, Views and stored Procedures) to support ADF pipelines as per requirements
3. Experience in building DB backups will be add onCompetence summary
• Mandatory Competencies: Work Experience Azure Data Factory, SQL (PL-SQL Developer)
• Good to Have: Visual Studio, Azure DevOps, Power BI.",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626782364123136,SQL,Data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626795962056704,Microsoft Azure,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626736444882944,ETL,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1204836445183918080,Azure DevOps,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626759559692288,Microsoft Visual Studio,,,,,,,,,Less than 5,Payment verified,,1,0,Poland,6,12,,0,Hourly,,$25.00-$35.00,$25.00 ,$35.00 
Implementation of algorithm for multilingual data,https://www.upwork.com/jobs/Implementation-algorithm-for-multilingual-span-data-span_~01977b96b6099c0b6f/,Expert,"Less than 1 month, Less than 30 hrs/week",Data_science,24 minutes ago,"Looking for freelancer to implement following link https://towardsdatascience.com/enhancing-keybert-keyword-extraction-results-with-keyphrasevectorizers-3796fa93f4db for non-english language , based on structure of languages  few things will change , reuslts / discussion along with merhdology need to be mentioned",https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626730384113664,Data Science,data,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626711534911488,Algorithm Development,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=996364628025274386,Python,https://www.upwork.com/nx/jobs/search/?ontology_skill_uid=1031626755474440192,Machine Learning,,,,,,,,,,,Less than 5,Payment verified,,1,20000,Pakistan,2,4,4.688142686,68,Hourly,,,0,
